	Unnamed: 0	year	target	target_form	L	target_msd	masked_text	orig_text	target_i	A	B	msd	logit_A	logit_B
10	10	1880	eli	eli	27	SUBCAT_CC	säätyluokka MATCH herrasmäki alkuansa olisi ruotsalaista syntyperää , tänne siirtyneitten ruotsalaisten jälkeläisiä , sitte woisi ehkä jollaki syyllä kaikkia nimenmuutoksia niastustaa muka esi-isäin muiston kunnioittamisen tähen .	säätyluokka eli herrasmäki alkuansa olisi ruotsalaista syntyperää , tänne siirtyneitten ruotsalaisten jälkeläisiä , sitte woisi ehkä jollaki syyllä kaikkia nimenmuutoksia niastustaa muka esi-isäin muiston kunnioittamisen tähen .	1	eli	tai	SUBCAT_CC	10.798548698425293	9.546625137329102
11	11	1880	eli	eli	82	SUBCAT_CC	MAlla oN Kllä viikolla henkikirjoitus , mutta siellä saimat ukot sak . koja siitä kun eimät olleet paikalla itfe MATCH asiamies , . Nkkoparat erehtyimät kM e| Mä ole muullon ollut mitään , ja kun^ näet ) Ui jo syksyllä kirjoitettu , . eikä , ollut mäkeä : Mä tullet , eikä pois mennyt , niin ukot luulimat , että MtäpäK tuonne < menen , p %inpi kuin kynnän - peltoani^ ) kun . luone&iln oli kolmen joi 'neljän p^Nnkulttlän malka .	MAlla oN Kllä viikolla henkikirjoitus , mutta siellä saimat ukot sak . koja siitä kun eimät olleet paikalla itfe eli asiamies , . Nkkoparat erehtyimät kM e| Mä ole muullon ollut mitään , ja kun^ näet ) Ui jo syksyllä kirjoitettu , . eikä , ollut mäkeä : Mä tullet , eikä pois mennyt , niin ukot luulimat , että MtäpäK tuonne < menen , p %inpi kuin kynnän - peltoani^ ) kun . luone&iln oli kolmen joi 'neljän p^Nnkulttlän malka .	19	eli	tai	SUBCAT_CC	2.5107991695404053	2.8185081481933594
12	12	1880	eli	eli	46	SUBCAT_CC	Niinpä oli käynyt kahdelle miehiselle » niehellekin . kun lähti » mot yöllä myllystä Hannilan ylipäästä roulitiiöjniutoa kohden , joka myötätuuleen oli kuulunut ylimin selmiisti : kun pääsimäl Haminan alapäähän MATCH kirkon uäföiäUe , niin ääni waikeni . eiwätkä enempi saaneet selmaa niiata se kuului .	Niinpä oli käynyt kahdelle miehiselle » niehellekin . kun lähti » mot yöllä myllystä Hannilan ylipäästä roulitiiöjniutoa kohden , joka myötätuuleen oli kuulunut ylimin selmiisti : kun pääsimäl Haminan alapäähän eli kirkon uäföiäUe , niin ääni waikeni . eiwätkä enempi saaneet selmaa niiata se kuului .	30	eli	tai	SUBCAT_CC	6.031925201416016	5.916100978851318
13	13	1880	eli	eli	25	SUBCAT_CC	— Dluen- ja wiinan-wyynti-oikeus kielletty . lämscin kuntakokoutsessa maaliskuun 27 P. pyysi eras henMö myydä wiinaa wcihissä erin MATCH puoli-tuopittain ja kaksi pyysi oluen-myynti-oikeutta .	— Dluen- ja wiinan-wyynti-oikeus kielletty . lämscin kuntakokoutsessa maaliskuun 27 P. pyysi eras henMö myydä wiinaa wcihissä erin eli puoli-tuopittain ja kaksi pyysi oluen-myynti-oikeutta .	18	eli	tai	SUBCAT_CC	8.771105766296387	10.655542373657227
14	14	1880	eli	eli	99	SUBCAT_CC	"Paanio Kirppu oli lviisas ukko , ja hän ymmärsi hymin , että hätäileminen kolonansa pilaisi tämän asian . Milä asia sinut on tänne näin myöhän lul . jettanut ? "" lysyi hän uudestaan , kun ei ensimaiseen kysymykseensä saanut mustausta . Oletlo sinä ehlä huomannut , ettei laikli ole näillä seuduilla niinlun olla pitäisi , MATCH . . . "" luuri niin , juuri niin , isä Paamo "" keskeyt » ti Jussi millkaasti . Minä kuulen , että teli tie « dätte ryssän tulosta . "" Niin , sen minä » varmaan tiedän , sen , "" was<"	"Paanio Kirppu oli lviisas ukko , ja hän ymmärsi hymin , että hätäileminen kolonansa pilaisi tämän asian . Milä asia sinut on tänne näin myöhän lul . jettanut ? "" lysyi hän uudestaan , kun ei ensimaiseen kysymykseensä saanut mustausta . Oletlo sinä ehlä huomannut , ettei laikli ole näillä seuduilla niinlun olla pitäisi , eli . . . "" luuri niin , juuri niin , isä Paamo "" keskeyt » ti Jussi millkaasti . Minä kuulen , että teli tie « dätte ryssän tulosta . "" Niin , sen minä » varmaan tiedän , sen , "" was<"	55	eli	tai	SUBCAT_CC	7.307982444763184	6.88426399230957
15	15	1880	eli	eli	193	SUBCAT_CC	mukaan 19 B ! ssä Hänen , Neisaril< lisen ilitajesteettinsä Elokuun 14 päiwänä 1872 annetussa armollisessa ohjesäännössä käsiteollisuuden johtotiinnalle maassa wclwoitetaan täten tämän kaupungin tehdastelijat , tasiteollisnudcu harjoittajat ja käsityöläiset , neljänkymmenen markan salon uhalla , wliwyttelcmätlä ja wiimeistääntin tämän tunn kululla Maistraatille antamaan tarpeenmutaiseöti allekirjoitetut luettelot , sisältämät myönnytys- MATCH oiteuvtirjan päiwän , jonta nojalla käsityötä eli laitosta harjoitetaan , laitoksen nimityksen ja tarkoituksen setä paikan missä se löytyy , omistajan ja jos laitos ei hänellä itseltä käytetä , myös hoitajan nimen , mestarin , sällien ja oppilaislcn luwun , erinäiscSli merkiten toti^ ja ulkomaiset semmoiset setä kuinka monta niistä on wiidentoista ikäwuodeu täyttäueitä ja kuinka mouta ei wielä siihen itään ehtineitä , » vesilaitosten , koneitten , tehdasten ja muiden laitosten lukumäärän ynnä selwitytscn niiden eri tartoitutscSta . pää°asiallisimmat raataai' nect , kotimaiset ja ulkomaiset , mitkä siinä 1879 wuoden kululla owat täytetyt walmistulsicn määrän , tulin laji lueteltuja arwattu , ioö laitoö nauttii yleistä apua , alkuperäisen pääoma » ja sanotun wnoden lopulla maksamattoman lainasumman setä tärkeimpien tehdaslaitotsccn luuluwien rakeuuusten lumuu ja laadun ynnä ilmoitutseu jos joku laitos wuoden kululla on tauonnut » a mistä syystä se on tapahtunut .	mukaan 19 B ! ssä Hänen , Neisaril< lisen ilitajesteettinsä Elokuun 14 päiwänä 1872 annetussa armollisessa ohjesäännössä käsiteollisuuden johtotiinnalle maassa wclwoitetaan täten tämän kaupungin tehdastelijat , tasiteollisnudcu harjoittajat ja käsityöläiset , neljänkymmenen markan salon uhalla , wliwyttelcmätlä ja wiimeistääntin tämän tunn kululla Maistraatille antamaan tarpeenmutaiseöti allekirjoitetut luettelot , sisältämät myönnytys- eli oiteuvtirjan päiwän , jonta nojalla käsityötä eli laitosta harjoitetaan , laitoksen nimityksen ja tarkoituksen setä paikan missä se löytyy , omistajan ja jos laitos ei hänellä itseltä käytetä , myös hoitajan nimen , mestarin , sällien ja oppilaislcn luwun , erinäiscSli merkiten toti^ ja ulkomaiset semmoiset setä kuinka monta niistä on wiidentoista ikäwuodeu täyttäueitä ja kuinka mouta ei wielä siihen itään ehtineitä , » vesilaitosten , koneitten , tehdasten ja muiden laitosten lukumäärän ynnä selwitytscn niiden eri tartoitutscSta . pää°asiallisimmat raataai' nect , kotimaiset ja ulkomaiset , mitkä siinä 1879 wuoden kululla owat täytetyt walmistulsicn määrän , tulin laji lueteltuja arwattu , ioö laitoö nauttii yleistä apua , alkuperäisen pääoma » ja sanotun wnoden lopulla maksamattoman lainasumman setä tärkeimpien tehdaslaitotsccn luuluwien rakeuuusten lumuu ja laadun ynnä ilmoitutseu jos joku laitos wuoden kululla on tauonnut » a mistä syystä se on tapahtunut .	50	eli	tai	SUBCAT_CC	6.418123245239258	7.808901786804199
16	16	1880	eli	eli	55	SUBCAT_CC	10 e. pp . höyrymyllyn buo neesen , päättämään MATCH litemmin määräämään myllyn myymisestä , jota tapahtuu samana päiroänä , hylväkst » m>iän eli » valitsemaan tarkastajia tutkimaan uskotuilta miehiltä annettu tililastu ja määräämään loimitsiamiehisle palk- kiota fuinmrjös hymälsymään el< hylkäämään tehtyjä huu- toja myymisen jälleen , ynnä muuta jota fattunaifeStt taitaa päätettäroitfl tulla .	10 e. pp . höyrymyllyn buo neesen , päättämään eli litemmin määräämään myllyn myymisestä , jota tapahtuu samana päiroänä , hylväkst » m>iän eli » valitsemaan tarkastajia tutkimaan uskotuilta miehiltä annettu tililastu ja määräämään loimitsiamiehisle palk- kiota fuinmrjös hymälsymään el< hylkäämään tehtyjä huu- toja myymisen jälleen , ynnä muuta jota fattunaifeStt taitaa päätettäroitfl tulla .	9	eli	tai	SUBCAT_CC	3.261890411376953	6.094569206237793
17	17	1880	eli	eli	36	SUBCAT_CC	Halulliset hakijat saamat ennen 15 p. enfitulemata Elokuuta allekirjoittaneelle jättää hakemuskirjansa , johon omat liitettämät papinkirja , lääkärin todistus ja lupakirja » vanhemmilta MATCH holhojilta , kvin myös päästökirja palweluspaikasta , jos halia on palkollinen .	Halulliset hakijat saamat ennen 15 p. enfitulemata Elokuuta allekirjoittaneelle jättää hakemuskirjansa , johon omat liitettämät papinkirja , lääkärin todistus ja lupakirja » vanhemmilta eli holhojilta , kvin myös päästökirja palweluspaikasta , jos halia on palkollinen .	23	eli	tai	SUBCAT_CC	9.090147018432617	13.492339134216309
18	18	1880	eli	eli	38	SUBCAT_CC	"1 , - « U !? ! MATCH 2N ! « 5 "" , » ninlli . ^ ileiil ieiel , llnlox ' > "" ? > ! « ! ! , » ilclil 5W jeleli an '"	"1 , - « U !? ! eli 2N ! « 5 "" , » ninlli . ^ ileiil ieiel , llnlox ' > "" ? > ! « ! ! , » ilclil 5W jeleli an '"	7	eli	tai	SUBCAT_CC	5.92367696762085	5.658923625946045
19	19	1880	eli	eli	24	SUBCAT_CC	' . mii s t a simistyksen ääriniiiiiiiullä rajoilla MATCH Nattn Buinpbii elämänmaiheet Pohjois-Alnerikan inoianeinj parissa , kertonut aine s A-enimore 00 per .	' . mii s t a simistyksen ääriniiiiiiiullä rajoilla eli Nattn Buinpbii elämänmaiheet Pohjois-Alnerikan inoianeinj parissa , kertonut aine s A-enimore 00 per .	9	eli	tai	SUBCAT_CC	5.027327060699463	4.815956115722656
20	20	1880	eli	eli	31	SUBCAT_CC	Siinä muun muassa oli kysymys kansakoulunopettajan palkan lisästä MATCH oikeammin palkan muutoksesta : opettaja olisi luopunut heinämaasta ja osaksi pellostaki , kuin maan , olisi saanut pari leimiskää heiniä talosta .	Siinä muun muassa oli kysymys kansakoulunopettajan palkan lisästä eli oikeammin palkan muutoksesta : opettaja olisi luopunut heinämaasta ja osaksi pellostaki , kuin maan , olisi saanut pari leimiskää heiniä talosta .	8	eli	tai	SUBCAT_CC	14.059039115905762	17.66075325012207
21	21	1880	eli	eli	41	SUBCAT_CC	Senaati oli myöntänyt 8.21 N markkaa , MATCH niin paljon kuin » vaaditusta smnmastu tuli Suomen maltion ja yliopiston rakennusten osaksi ; loppu 490 on suoritettama Venäjän kruunun muroista » venäläisten rakennusten puolesta , joihin myöskin » venäläinen teaterihuonc luettiin .	Senaati oli myöntänyt 8.21 N markkaa , eli niin paljon kuin » vaaditusta smnmastu tuli Suomen maltion ja yliopiston rakennusten osaksi ; loppu 490 on suoritettama Venäjän kruunun muroista » venäläisten rakennusten puolesta , joihin myöskin » venäläinen teaterihuonc luettiin .	7	eli	tai	SUBCAT_CC	13.715143203735352	8.939215660095215
22	22	1880	eli	eli	29	SUBCAT_CC	Kyläkirjastoa muosilia 1873 , 1874 ja 1875 9 + halutaan ostaa sitomatta eli sidottuna maikkapa korko hinnallakin ; myyjät ilmoittakoon suullisesti MATCH kirjeellisesti Kansalliskirjakauppaan . , [ 1021 ]	Kyläkirjastoa muosilia 1873 , 1874 ja 1875 9 + halutaan ostaa sitomatta eli sidottuna maikkapa korko hinnallakin ; myyjät ilmoittakoon suullisesti eli kirjeellisesti Kansalliskirjakauppaan . , [ 1021 ]	21	eli	tai	SUBCAT_CC	11.484831809997559	17.563079833984375
23	23	1880	eli	eli	39	SUBCAT_CC	Maanantaina ensituleman Huhtikuun 12 päimänä täällä pidettämällä huutokaupalla , tarjoo Maistraatti seitsemän wuoden arennille , MATCH Maaliskuun 25 päimään 1887 , enimmän malsamalle Taneli Hassisen Mä ennen hallitseman torpan Niittylahbessa , ehdoilla , joita huuto toimituksessa tarkemmin ilmoitetaan .	Maanantaina ensituleman Huhtikuun 12 päimänä täällä pidettämällä huutokaupalla , tarjoo Maistraatti seitsemän wuoden arennille , eli Maaliskuun 25 päimään 1887 , enimmän malsamalle Taneli Hassisen Mä ennen hallitseman torpan Niittylahbessa , ehdoilla , joita huuto toimituksessa tarkemmin ilmoitetaan .	15	eli	tai	SUBCAT_CC	8.860628128051758	7.0272016525268555
24	24	1880	eli	eli	33	SUBCAT_CC	Lnultawasti on mnntamissa tuulureissa ennen muinoin löytty mineraali- MATCH kiwmnäis-aineita , joita Lappalaiset owat hywäksensä käyttäneet ja uhranneet heidän haltijoillensa c akka lag a k ( tsjakkalagak ) , joista jälestäpäin nminitaan .	Lnultawasti on mnntamissa tuulureissa ennen muinoin löytty mineraali- eli kiwmnäis-aineita , joita Lappalaiset owat hywäksensä käyttäneet ja uhranneet heidän haltijoillensa c akka lag a k ( tsjakkalagak ) , joista jälestäpäin nminitaan .	8	eli	tai	SUBCAT_CC	12.024809837341309	12.976593971252441
25	25	1880	eli	eli	30	SUBCAT_CC	"P. tietää että Moskomassa on ilmautunut wihko nimeltä : Kalewala finski narodni epos ; päsniä o Kullerwä "" , MATCH suomeksi : Kalewala , suomalainen kansallisepos ; laulut Kullerwosta ."	"P. tietää että Moskomassa on ilmautunut wihko nimeltä : Kalewala finski narodni epos ; päsniä o Kullerwä "" , eli suomeksi : Kalewala , suomalainen kansallisepos ; laulut Kullerwosta ."	19	eli	tai	SUBCAT_CC	13.586660385131836	12.094548225402832
26	26	1880	eli	eli	56	SUBCAT_CC	Jos joku , maimoni Kaisa Greeta Taninniemen kanssa , sitte 15 päiwän wiime Joulukuuta , on tehnyt kauppoja eli häneltä panttiin ottanut tahi ostanut mintäänkaltaista huonekalua MATCH maatteita , eli jos hänen kanssaan on tehty muotraliittoja tahi muuta , niin minä en sitoutu niitä » vastaamaan , maan huomautan itiekutalin säännöistä N. K. 11 lum .	Jos joku , maimoni Kaisa Greeta Taninniemen kanssa , sitte 15 päiwän wiime Joulukuuta , on tehnyt kauppoja eli häneltä panttiin ottanut tahi ostanut mintäänkaltaista huonekalua eli maatteita , eli jos hänen kanssaan on tehty muotraliittoja tahi muuta , niin minä en sitoutu niitä » vastaamaan , maan huomautan itiekutalin säännöistä N. K. 11 lum .	26	eli	tai	SUBCAT_CC	10.341917037963867	14.102612495422363
27	27	1880	eli	eli	31	SUBCAT_CC	Kuuta on luwannut sille , joka suden pesän löytää MATCH suden tappaa , maksaa joka emältä 5 penniä päälle muun tapporahan , » vaan ei sittenkään kaikki jätkät lähde liikkeelle .	Kuuta on luwannut sille , joka suden pesän löytää eli suden tappaa , maksaa joka emältä 5 penniä päälle muun tapporahan , » vaan ei sittenkään kaikki jätkät lähde liikkeelle .	9	eli	tai	SUBCAT_CC	11.341704368591309	13.309700012207031
28	28	1880	eli	eli	32	SUBCAT_CC	I^Zlmoitullsta wastaanotetaan kirjclpainossa maanantaina jn torstaina , 10 p. maksusta enL- ja Bp . i taan G. Bergrothin lirjapainossa , Itä » neljännelle siwulle hienolta rinnltä MATCH sitä wastaawalt » alalta .	I^Zlmoitullsta wastaanotetaan kirjclpainossa maanantaina jn torstaina , 10 p. maksusta enL- ja Bp . i taan G. Bergrothin lirjapainossa , Itä » neljännelle siwulle hienolta rinnltä eli sitä wastaawalt » alalta .	26	eli	tai	SUBCAT_CC	5.131688117980957	4.971188068389893
29	29	1880	eli	eli	23	SUBCAT_CC	Wihityitä : Huouekuntanrn Paawo Riii « sänen MATCH Holappa ja lorpparinleski Maria Kristin » Mälelii ; merimies Johan Tornberg ja Elisabeth Laukka .	Wihityitä : Huouekuntanrn Paawo Riii « sänen eli Holappa ja lorpparinleski Maria Kristin » Mälelii ; merimies Johan Tornberg ja Elisabeth Laukka .	7	eli	tai	SUBCAT_CC	7.811802864074707	5.637749195098877
30	30	1880	eli	eli	90	SUBCAT_CC	1633,3 — 2 ) R , ' » talammiii fiblafiinnanoifeuben , helmi » tuun 22 p:nä m. 1877 ontaman päätöfien mu'aan feb , oi » telaan sitä MATCH niitä , jolla poreminau oifeuben noiaSia tab » lomat estää lainhuutoa 87 / m ofllle puolensa peri » tö:ila « sa n:o 11 •ätifnfosfen fpläsia 'anotussa pitäiäsiä , yön ja » vuode » sisälle tämän fuulutuffen folmannen ferran > » l> faiftun , sama » pitäjän Hblafunnanrifeubeftfa siitä lanteen teleinään , sillä uhalla , että lainhuudot meille muutoin an » netaan .	1633,3 — 2 ) R , ' » talammiii fiblafiinnanoifeuben , helmi » tuun 22 p:nä m. 1877 ontaman päätöfien mu'aan feb , oi » telaan sitä eli niitä , jolla poreminau oifeuben noiaSia tab » lomat estää lainhuutoa 87 / m ofllle puolensa peri » tö:ila « sa n:o 11 •ätifnfosfen fpläsia 'anotussa pitäiäsiä , yön ja » vuode » sisälle tämän fuulutuffen folmannen ferran > » l> faiftun , sama » pitäjän Hblafunnanrifeubeftfa siitä lanteen teleinään , sillä uhalla , että lainhuudot meille muutoin an » netaan .	27	eli	tai	SUBCAT_CC	3.78615403175354	5.771909236907959
31	31	1880	eli	eli	136	SUBCAT_CC	"Ensimmäisestä päiwästä ensi sulewaa Mar » rasluuta MATCH Tammikuuta , jos niin halutaan wuokrallc annetaan , eli myös tylsänänsä myy- dään , liywillä ehdoilla . hy » ällä ja kauniilla vaikulla , ison maantien warreNa . kirkon wie » ressä olema maakauppa , tietoja asiasta antaa , kauvpias G. A. Lagerwik Hel » singissä Fredrikinkadulla Nlo 45. HNellojain herra ensimmäisen rewisori » "" "" - Otto Tandefeltin konkurssissa 16 p:nii elokuuta tänä wuonna tekemän räätölsen mu- laan myydään julkisella huutokaupalla , jota torstaina l 4 p:nä tulemaa lokakuuta pidetään Tollimäen kartanossa Hartolan pitäjässä Hei » nolan kihlakuntaa ja Mitt> lin lääniä , s uraa- rvat siellä lonlursslpesään luuluwat tilat , ni- mittäin : 1 ) Isäsjärwen ja Nautaweden isojen jär wien wiiliUä lnonnonihanalla pailalla olcw « Tollimäen eli Sipilän perimörust^ » , , suu- ruudeltaan !"	"Ensimmäisestä päiwästä ensi sulewaa Mar » rasluuta eli Tammikuuta , jos niin halutaan wuokrallc annetaan , eli myös tylsänänsä myy- dään , liywillä ehdoilla . hy » ällä ja kauniilla vaikulla , ison maantien warreNa . kirkon wie » ressä olema maakauppa , tietoja asiasta antaa , kauvpias G. A. Lagerwik Hel » singissä Fredrikinkadulla Nlo 45. HNellojain herra ensimmäisen rewisori » "" "" - Otto Tandefeltin konkurssissa 16 p:nii elokuuta tänä wuonna tekemän räätölsen mu- laan myydään julkisella huutokaupalla , jota torstaina l 4 p:nä tulemaa lokakuuta pidetään Tollimäen kartanossa Hartolan pitäjässä Hei » nolan kihlakuntaa ja Mitt> lin lääniä , s uraa- rvat siellä lonlursslpesään luuluwat tilat , ni- mittäin : 1 ) Isäsjärwen ja Nautaweden isojen jär wien wiiliUä lnonnonihanalla pailalla olcw « Tollimäen eli Sipilän perimörust^ » , , suu- ruudeltaan !"	7	eli	tai	SUBCAT_CC	3.9660985469818115	4.315445423126221
